Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time	sigma
57	-107.05798	133.5269	-5.6099324	-382.6992	-129.06026	140.11531	-7.6423826	-383.607	200.0	200.0	227999	-99.44824	238.74081	136.13345	-439.55118	-99.45185	238.73961	144.06197	-436.0224	99.43805	867.392	4172.497151851654	0.01370601080477428
58	-139.69398	152.73717	-8.752466	-382.30008	-126.281075	137.7109	-8.581105	-383.751	200.0	200.0	231999	-100.0233	237.9698	132.28749	-427.90247	-100.02488	237.97272	138.30705	-428.956	99.175606	869.7339	4245.525156736374	0.012151237432740021
59	-87.07322	112.63293	-7.3667297	-311.70554	-113.82052	133.90326	-7.4848623	-383.34235	200.0	200.0	235999	-98.55974	237.6784	135.71922	-428.51944	-98.55969	237.68698	135.14491	-427.69016	97.23062	855.1713	4317.039941072464	0.014234047475552871
60	-61.370453	78.790955	-8.3976755	-268.88687	-141.02934	140.98953	-6.983093	-383.44257	200.0	200.0	239999	-97.52541	237.40141	132.27852	-426.52054	-97.53011	237.4144	139.45773	-427.41202	96.76209	847.75024	4389.6000237464905	0.01421982764790497
61	-111.6646	124.19527	-3.5677648	-315.24524	-149.16612	143.6161	-5.8840322	-383.64053	200.0	200.0	243999	-97.0673	236.06378	137.65486	-431.76843	-97.0659	236.06387	138.87712	-429.06207	96.35124	837.4327	4462.268535852432	0.013925715151337219
62	-140.3205	136.74779	-9.112399	-377.93097	-125.35297	140.50963	-6.810754	-382.63004	200.0	200.0	247999	-96.99456	236.26505	135.04366	-429.88065	-97.0054	236.26825	141.48792	-428.6722	96.6981	824.92896	4536.7061405181885	0.013368969573727886
63	-180.95816	143.99391	-4.904154	-382.75925	-122.92553	139.5204	-7.0463705	-383.48367	200.0	200.0	251999	-98.93273	236.02971	133.28566	-434.52924	-98.93286	236.04074	131.7248	-432.74323	99.342125	811.8516	4610.931174278259	0.014177253341941873
64	-122.07747	151.68855	-6.3164735	-379.02686	-144.10687	143.06555	-6.6551805	-383.5551	200.0	200.0	255999	-99.70104	236.76923	131.1447	-431.5606	-99.70403	236.77171	138.354	-429.18036	99.06639	820.15015	4686.626454591751	0.014447768365749158
65	-175.25613	136.9347	-7.5992904	-368.1519	-132.38277	140.11021	-5.783176	-382.92404	200.0	200.0	259999	-100.61342	236.91388	132.1696	-429.7378	-100.61842	236.91438	137.17801	-430.8217	99.962654	819.30115	4762.821399688721	0.014148941310379809
66	-136.7568	151.75859	-7.578295	-383.1291	-121.07439	137.27707	-5.977827	-382.73032	200.0	200.0	263999	-100.82661	236.45187	136.2826	-429.49323	-100.82014	236.44647	133.26988	-428.2207	100.113785	867.1551	4838.24062204361	0.015613620002587557
